id,price_doc
30474,4874797.537
30475,8029926.863
30476,5139315.296
30477,6654844.111
30478,5035133.673
30479,7620560.415
30480,4629629
30481,4174209.03
30482,4567996.976
30483,4651416.662
30484,6487229.267
30485,4728533.67
30486,4027574.12
30487,3595884.038
30488,4182214.828
30489,5683846.245
30490,17430028.56
30491,14927692.5
30492,4673690.393
30493,11013838.2
30494,6423602.623
30495,8518285.018
30496,8591111.043
30497,9679130.86
30498,3844584.972
30499,7877088.294
30500,9176158.576
30501,6138005.243
30502,3533449.888
30503,6035858.358
30504,5556334.579
30505,11832909.67
30506,2687938.623
30507,4765411.643
30508,5523193.218
30509,5833236.95
30510,8581382.797
30511,6434012.333
30512,5886728.456
30513,4920390.675
30514,3079022.23
30515,9022041.282
30516,5798004.883
30517,9469031.277
30518,7277137.105
30519,4880566.49
30520,5464147.789
30521,3994203.8
30522,7072421.523
30523,5547674.578
30524,8016101.454
30525,10257824.07
30526,4446053.475
30527,4760177.442
30528,5910062.741
30529,6464385.794
30530,5861841.911
30531,12067106.82
30532,4350499.802
30533,9098664.317
30534,6407661.891
30535,8566938.553
30536,5016313.053
30537,9566349.05
30538,4619737.214
30539,8692149.092
30540,9077794.797
30541,6657576.203
30542,2144772.052
30543,4879260.349
30544,6608002.12
30545,7920480.064
30546,3846492.99
30547,7041239.186
30548,4219338.17
30549,5283582.13
30550,9859823.928
30551,5009882.686
30552,2140443.765
30553,7278728.678
30554,9572893.765
30555,6315805.769
30556,7186291.849
30557,7039617.094
30558,8378851.796
30559,5653391.039
30560,5410325.729
30561,6399152.72
30562,11144139.36
30563,4609241.63
30564,6428052.01
30565,6631850.91
30566,6898116.041
30567,2045789.812
30568,8235706.126
30569,7909865.156
30570,6823317.966
30571,6278188.769
30572,4832712.542
30573,6914256.739
30574,5604387.114
30575,6767711.61
30576,3856156.91
30577,3871870.076
30578,2982480.412
30579,6568053.36
30580,4794591.155
30581,4826477.018
30582,10631031.91
30583,6669492.59
30584,4596453.488
30585,3313801.525
30586,9307650.678
30587,5411399.721
30588,7692597.31
30589,6471538.602
30590,11685687.94
30591,3998395.947
30592,5683724.445
30593,8058076.03
30594,8074187.381
30595,4830581.29
30596,4952926.331
30597,6873036.295
30598,8844506.524
30599,11799057.53
30600,6092354.222
30601,6041299.186
30602,2085039.078
30603,12416730.32
30604,4148801.066
30605,6947947.402
30606,15529309.76
30607,6952151.332
30608,8258188.851
30609,5637229.341
30610,3591252.52
30611,5623162.1
30612,5956062.631
30613,7427179.743
30614,16799124.63
30615,6948225.69
30616,5704498.339
30617,7734471.136
30618,4380261.373
30619,4198417.629
30620,2715146.242
30621,8258889.511
30622,10129711.97
30623,5651683.793
30624,6220365.926
30625,7049636.651
30626,6364745.892
30627,7915233.689
30628,6645592.777
30629,4469442.532
30630,4374672.747
30631,5938698.317
30632,4138912.745
30633,5193408.653
30634,7871471.559
30635,9005377.942
30636,5140100.915
30637,8819774.045
30638,5463707.249
30639,6771637.389
30640,4512658.799
30641,8718840.052
30642,5520035.883
30643,7064322.793
30644,8860277.878
30645,6472199.479
30646,4759487.646
30647,4518429.859
30648,17315760.18
30649,2709517.024
30650,4025627.179
30651,2700435.241
30652,4617673.467
30653,8130433.482
30654,4364106.607
30655,9872541.563
30656,3975190.709
30657,6049641.82
30658,8149574.516
30659,4543896.87
30660,7907946.685
30661,6418696.786
30662,7864888.753
30663,13376825.79
30664,9035469.918
30665,5955308.432
30666,2365293.16
30667,4243195.691
30668,7160317.154
30669,4753701.776
30670,1988334.937
30671,6455453.528
30672,11026295.9
30673,7128208.634
30674,10067062.71
30675,2135656.779
30676,6570947.974
30677,4402454.373
30678,14365663.89
30679,5274714.09
30680,5332856.497
30681,2881977.274
30682,7163708.755
30683,9353623.986
30684,5194004.89
30685,6177254.761
30686,8431791.338
30687,4924311.36
30688,4373345.421
30689,8548378.964
30690,17927024.83
30691,4554670.288
30692,6346371.738
30693,7811221.598
30694,6313301.696
30695,6397935.334
